;bam_ID;line_ID;flowcell_ID;library_ID;bam_path;bai_path
43;GERM_221;line_1;4;2;./04_processed_bam/GERM_221.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/GERM_221.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
44;GERM_347;line_2;4;2;./04_processed_bam/GERM_347.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/GERM_347.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
45;GERM_C25;line_3;4;2;./04_processed_bam/GERM_C25.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/GERM_C25.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
46;GERM_D22;line_4;4;2;./04_processed_bam/GERM_D22.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/GERM_D22.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
47;GERM_E31;line_5;4;2;./04_processed_bam/GERM_E31.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/GERM_E31.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
48;GERM_F3;line_6;4;2;./04_processed_bam/GERM_F3.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/GERM_F3.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
49;GL111TCL;line_7;1;1;./04_processed_bam/GL111TCL.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/GL111TCL.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
50;GL82TCL;line_8;1;1;./04_processed_bam/GL82TCL.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/GL82TCL.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
51;GL91TCL;line_9;3;1;./04_processed_bam/GL91TCL.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/GL91TCL.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
52;GERM1;line_10;2;1;./04_processed_bam/GERM1.sorted.marked.realigned.fixed.fixedRG.recalBam.bam;./04_processed_bam/GERM1.sorted.marked.realigned.fixed.fixedRG.recalBam.bai
